type,people,saying
人生／幸福,齊克果,生活只能向後理解；但必須向前生活。
人生／幸福,齊克果,生活不是一個需要解決的問題，而是一個需要經歷的現實。
人生／幸福,沙特,我們可以做許多白日夢，可以失敗，可以哭泣，光芒萬丈。
人生／幸福,尼采,創造了這個有價值的世界的是我們！
人生／幸福,尼采,活著就必須面對許多必然的無奈，人際關係、付出、麻煩、解決問題、勞苦、竭盡心力、依戀不捨、爭執、離別、變故、失去等。你可能因此退縮，也可能做得過火，但唯一能做的，就是接受每一件必然的無奈，誠懇面對。這樣一來，看似沉重的事也會變得雲淡風輕，轉化成力量。
人生／幸福,尼采,若只是偶爾緬懷過去倒也無妨，但千萬不要耽溺過往。對過往依戀不捨只會束縛你的心，迫使你無法了解人生遭遇的各種新價值與意義。
人生／幸福,尼采,偉大的真理是供人批判，而不是供人膜拜的。
人生／幸福,尼采,一棵樹要長得更高，接受更多的光明，那麼它的根就必須更深入黑暗——深入惡中。
人生／幸福,尼采,人類的生命，不能以時間長短來衡量，心中充滿愛時，剎那即永恆！
人生／幸福,尼采,世界瀰漫著焦躁不安的氣息，因為每一個人都急於從自己的枷鎖中解放出來。
人生／幸福,尼采,沒有事實，只有詮釋。
人生／幸福,尼采,一個人知道自己為什麼而活，就可以忍受任何一種生活。
人生／幸福,柏拉圖,人生最大的遺憾莫過於：放棄了不該放棄的，堅持了不該堅持的。
人生／幸福,蘇格拉底,活著不是目的，「好好活著」才是。
人生／幸福,亞里斯多德,幸福就是把靈魂放在適當的位置。
人生／幸福,亞里斯多德, 人生最終的價值，在於覺醒和思考的能力，而不止在於生存。
人生／幸福,馬可・奧理略,你生活的快樂取決於你思想的品質。
人生／幸福,康德,只有善的意志才是道德的真正試金石。
人生／幸福,康德,自由即自律。
人生／幸福,康德,道德確實不是指導人們如何使自己幸福的教條，而是指導人們如何配享有幸福的學說。
人生／幸福,康德,自由不是想做什麼，就做什麼，而是教會你不想做什麼，就可以不做什麼。
人生／幸福,笛卡兒,我思故我在。
人生／幸福,黑格爾,只有那些永遠躺在坑裡從不仰望高空的人，才不會掉進坑裡。
人生／幸福,培根,希望是所有人共有的唯一好處，那些別無所有的人仍然擁有希望。
人生／幸福,培根,幸運所需要的美德是節制，逆境所需要的美德是堅韌。
人生／幸福,培根,真理是時間之產物，而不是權威之產物。
人生／幸福,伊比鳩魯,一切幸福都絕非沒有憂慮和煩惱，而一切逆境也絕非沒有慰籍與希望。
人生／幸福,洛克,金錢之所以比什麼都卑鄙、厭煩，乃在它甚至能給人才華的緣故。
人生／幸福,洛克,要求真，因為真，是這人世間完美之事的基本要素，也是所有善美的根源。
人際關係,齊克果,愛不會改變心愛的人，它會改變自己。
人際關係,沙特,他人即地獄
人際關係,沙特,孤獨是人類屬性中一個必不可少的特徵，它是被一種存在於人們「找到生命意義的需要」和「對人世本質的虛無的覺察」之間的矛盾所激發的。
人際關係,沙特,訴諸暴力的人得到的依然是暴力。
人際關係,沙特,所有的人把時間花在了互相解釋以及慶祝他們有著意見相同上。我的天，他們是有多看重「所有的人意見相同」這件事。
人際關係,沙特,如果你獨處時感到寂寞，這說明你沒有和你自己成為好朋友。
人際關係,沙特,放謙虛點，把自己捧得太高，摔下來可會粉身碎骨的。
人際關係,尼采,與怪物戰鬥的人，應當小心自己不要成為怪物。當你長久凝視深淵時，深淵也在凝視你。
人際關係,尼采,沒有事實，只有詮釋。
人際關係,柏拉圖,白晝的光，如何能夠了解夜晚黑暗的深度呢？
人際關係,柏拉圖,你既可以用愛得到全世界，也可以用恨失去全世界。
人際關係,柏拉圖,要仁慈，你所遇見的每個人都在打一場艱難的仗。
人際關係,蘇格拉底,假如我不再生氣的話，我恐怕會揍了你。
人際關係,亞里斯多德,我不能教任何人任何事，我只能讓他們思考。
人際關係,亞里斯多德,說服別人靠的不是智慧，而是情感。
人際關係,康德,一個人所說的話必須是真實的，但是他沒有必要把所有的真實都說出來。
人際關係,西蒙波娃,沒有人可以在孤獨中成為她自己。
人際關係,斯賓諾莎,人心不是靠武力征服，而是靠愛和寬容征服。
人際關係,斯賓諾莎,不要笑，不要哭，不要恨，要理解。
逆境／痛苦,沙特,我們痛苦，因為我們是自由的。
逆境／痛苦,沙特,人是註定要受自由之苦的。因為他並沒有創造自己，但卻是自由的。因為一旦被扔進這個世界裡來，他就必須為他所做的每一件事負責。
逆境／痛苦,尼采,我通過多大的抵抗、痛苦、折磨來評估意志的力量，並知道如何將其變為自己的優勢。
逆境／痛苦,尼采,活著就必須面對許多必然的無奈，人際關係、付出、麻煩、解決問題、勞苦、竭盡心力、依戀不捨、爭執、離別、變故、失去等。你可能因此退縮，也可能做得過火，但唯一能做的，就是接受每一件必然的無奈，誠懇面對。這樣一來，看似沉重的事也會變得雲淡風輕，轉化成力量。
逆境／痛苦,尼采,煩殺不死我的，必能使我更強大。
逆境／痛苦,尼采,為何總是原地踏步？究竟在等待什麼？是在等誰過來拉你一把嗎？茫然等待不知何時才會到來的幸福？還是等著哪一天收到來自神與天使的祝福？以為只要耐心等待，就會有人奇蹟似地助你逃離困境？停滯不前只會終結你的人生，你能做的就是堅強面對挑戰。才能活出最充實、最精采的自己。
逆境／痛苦,尼采,一個偉大的人往往受到排擠、壓抑、甚至被人斥為譁眾取寵而陷於孤獨中。
逆境／痛苦,尼采,愚昧無知是一切痛苦之源。
逆境／痛苦,尼采,在極端痛苦中，一個靈魂為了承受這份痛苦，將會發出嶄新的生命光輝。
逆境／痛苦,蘇格拉底,這個世界上有兩種人，一種是快樂的豬，一種是痛苦的人。做痛苦的人，不做快樂的豬。
逆境／痛苦,亞里斯多德,我認為，與戰勝敵人的人相比，戰勝欲望的人更加勇敢。
逆境／痛苦,亞里斯多德,無畏的人才能獲得真正的自由。
逆境／痛苦,亞里斯多德,唯有克服了內心的恐懼，才能獲得真正的自由。
逆境／痛苦,康德,生得偉大者，笑對無常。
逆境／痛苦,維克托・庫贊,如果無知是幸福，那應該有更多的快樂人。
逆境／痛苦,培根,希望是所有人共有的唯一好處，那些別無所有的人仍然擁有希望。
逆境／痛苦,培根,幸運所需要的美德是節制，逆境所需要的美德是堅韌。
